state,year,pixels,mean,min,max,sum,var
Mato Grosso,1990,722848,  7.255318E-01,  0.000000E+00,  1.467000E+00,  5.244492E+05,  8.251710E-02
Mato Grosso,1991,722848,  7.469092E-01,  0.000000E+00,  1.536000E+00,  5.399018E+05,  8.737102E-02
Mato Grosso,1992,722848,  7.665783E-01,  0.000000E+00,  1.658000E+00,  5.541196E+05,  9.494527E-02
Mato Grosso,1993,722848,  7.748561E-01,  0.000000E+00,  1.774000E+00,  5.601032E+05,  1.024468E-01
Mato Grosso,1994,722848,  7.733959E-01,  0.000000E+00,  1.901000E+00,  5.590477E+05,  1.154425E-01
Mato Grosso,1995,722848,  7.725655E-01,  0.000000E+00,  2.058000E+00,  5.584474E+05,  9.541178E-02
Mato Grosso,1996,722848,  7.866410E-01,  0.000000E+00,  1.629000E+00,  5.686218E+05,  7.135938E-02
Mato Grosso,1997,722848,  8.157441E-01,  0.000000E+00,  1.675000E+00,  5.896590E+05,  7.602614E-02
Mato Grosso,1998,722848,  8.498846E-01,  0.000000E+00,  1.754000E+00,  6.143374E+05,  9.425521E-02
Mato Grosso,1999,722848,  8.577074E-01,  0.000000E+00,  1.828000E+00,  6.199920E+05,  9.805821E-02
Mato Grosso,2000,722848,  8.843839E-01,  0.000000E+00,  1.947000E+00,  6.392751E+05,  1.061447E-01
Mato Grosso,2001,722848,  9.227214E-01,  0.000000E+00,  2.107000E+00,  6.669873E+05,  1.150906E-01
Mato Grosso,2002,722848,  9.606678E-01,  0.000000E+00,  2.404000E+00,  6.944168E+05,  1.272373E-01
Mato Grosso,2003,722848,  1.000846E+00,  0.000000E+00,  2.400000E+00,  7.234592E+05,  1.412911E-01
Mato Grosso,2004,722848,  1.078311E+00,  0.000000E+00,  2.325000E+00,  7.794552E+05,  1.317880E-01
Mato Grosso,2005,722848,  1.105622E+00,  0.000000E+00,  2.550000E+00,  7.991965E+05,  1.185403E-01
Mato Grosso,2006,722848,  1.199218E+00,  0.000000E+00,  2.586000E+00,  8.668522E+05,  1.345053E-01
Mato Grosso,2007,722848,  1.268395E+00,  0.000000E+00,  2.444000E+00,  9.168571E+05,  1.398947E-01
Mato Grosso,2008,722848,  1.307691E+00,  0.000000E+00,  2.697000E+00,  9.452616E+05,  1.515800E-01
Mato Grosso,2009,722848,  1.367886E+00,  0.000000E+00,  3.420000E+00,  9.887734E+05,  1.779872E-01
Mato Grosso,2010,722848,  1.446154E+00,  0.000000E+00,  4.066000E+00,  1.045350E+06,  1.925848E-01
Mato Grosso,2011,722848,  1.601882E+00,  0.000000E+00,  5.267000E+00,  1.157917E+06,  2.489870E-01
Mato Grosso,2012,722848,  1.688256E+00,  0.000000E+00,  6.543000E+00,  1.220353E+06,  3.140156E-01
